CONSTITUENT_ID,AGE,GENDER,CITY,STATE,COUNTRY,ZIPCODE,EMAIL,PHONE,MARRIED,CONSTITUENT_ID,No of Events Attended,CONSTITUENT_ID,Total Amount donated,Donated (yes/no)
1093170,58,Female,Shorewood,Illinois,USA,60404,0,1,0,NULL,0,NULL,0,0
1093223,82,Female,Sarasota,Florida,USA,34236,0,1,1,1093223,1,NULL,0,0
1097601,0,Male,Salem,Illinois,USA,62881,0,1,0,NULL,0,NULL,0,0
109795,41,Female,Berwyn,Illinois,USA,60402,0,1,0,NULL,0,NULL,0,0
1098740,60,Female,Mount Prospect,Illinois,USA,60056,1,1,0,NULL,0,NULL,0,0
109885,46,Male,Heyworth,Illinois,USA,61745,1,1,0,NULL,0,NULL,0,0
1099190,58,Female,Willowbrook,Illinois,USA,60527,1,1,0,NULL,0,1099190,160,1
1099266,58,Female,Bradenton,Florida,USA,34202,1,1,1,NULL,0,NULL,0,0
1099267,59,Female,Houston,Texas,USA,77095,1,1,1,NULL,0,NULL,0,0
1099276,61,Female,Houston,Texas,USA,77039,0,1,0,NULL,0,NULL,0,0
1099394,61,Female,Topeka,Kansas,USA,66614,0,1,1,NULL,0,NULL,0,0
1099477,63,Female,Aurora,Illinois,USA,60502,0,1,0,NULL,0,NULL,0,0
1099488,59,Female,Sunnyvale,California,USA,94087,1,1,1,NULL,0,NULL,0,0
1099499,59,Female,Schaumburg,Illinois,USA,60193,0,1,0,NULL,0,NULL,0,0
1099509,58,Female,Erie,Pennsylvania,USA,16507,0,0,0,NULL,0,NULL,0,0
1099715,56,Female,Burr Ridge,Illinois,USA,60527,0,1,0,NULL,0,NULL,0,0
1099742,57,Female,Fitchburg,Wisconsin,USA,53711,1,1,1,NULL,0,NULL,0,0
1099760,55,Female,Stockton,Illinois,USA,61085,1,1,1,NULL,0,NULL,0,0
1099815,57,Female,Lincolnshire,Illinois,USA,60069,1,1,0,NULL,0,NULL,0,0
1099826,57,Female,Chicago,Illinois,USA,60625,1,1,1,NULL,0,NULL,0,0
1101210,62,Male,Sebastopol,California,USA,95472,0,1,1,NULL,0,NULL,0,0
1101250,56,Female,River Forest,Illinois,USA,60305,0,1,0,NULL,0,NULL,0,0
110127,82,Female,Fremont,California,USA,94539,0,1,1,NULL,0,110127,25,1
1101342,71,Male,,No State,USA,,1,1,0,1101342,1,NULL,0,0
110157,83,Female,Evanston,Illinois,USA,60202,0,1,1,NULL,0,110157,110,1
110161,64,Female,Bloomington,Illinois,USA,61701,1,1,1,NULL,0,110161,110,1
110238,55,Female,Louisville,Kentucky,USA,40205,0,1,1,NULL,0,110238,25,1
110285,69,Female,Rockford,Illinois,USA,61108,1,1,1,110285,1,110285,750,1
1103746,64,Female,Arlington,Virginia,USA,22201,0,1,0,NULL,0,NULL,0,0
1103765,63,Female,East Palo Alto,California,USA,94303,1,1,0,NULL,0,NULL,0,0
1103803,55,Female,Aurora,Illinois,USA,60502,1,1,1,1103803,1,NULL,0,0
1103859,61,Female,Colorado Springs,Colorado,USA,80917,0,1,0,NULL,0,NULL,0,0
1103893,60,Female,Olathe,Kansas,USA,66062,0,1,0,NULL,0,NULL,0,0
1103941,67,Male,Shatin NT,No State,HK,,0,1,0,NULL,0,NULL,0,0
1103945,72,Female,Anna,Illinois,USA,62906,0,1,0,NULL,0,NULL,0,0
1104065,59,Female,Peoria,Illinois,USA,61615,1,0,0,NULL,0,NULL,0,0
1104167,67,Female,Ponce,Puerto Rico,USA,732,0,0,0,NULL,0,NULL,0,0
1104220,55,Female,Terre Haute,Indiana,USA,47803,0,1,1,NULL,0,NULL,0,0
1104282,61,Female,Decatur,Georgia,USA,30034,0,1,0,NULL,0,NULL,0,0
1104344,53,Female,Grand Junction,Colorado,USA,81505,1,1,1,NULL,0,NULL,0,0
1104398,75,Female,Lexington,Illinois,USA,61753,1,1,0,NULL,0,NULL,0,0
1104942,0,Female,San Francisco,California,USA,94111,0,1,1,NULL,0,NULL,0,0
1104987,96,Female,,No State,USA,,0,1,1,NULL,0,NULL,0,0
1105536,58,Female,Rushville,Illinois,USA,62681,0,1,0,NULL,0,NULL,0,0
1106553,60,Male,Rockford,Illinois,USA,61107,0,1,1,NULL,0,1106553,50,1
1107828,54,Female,Chicago,Illinois,USA,60628,0,1,0,NULL,0,NULL,0,0
1107937,78,Female,,No State,USA,,0,1,0,NULL,0,NULL,0,0
1107961,68,Female,Murphysboro,Illinois,USA,62966,0,1,0,NULL,0,NULL,0,0
1107975,60,Female,Peoria,Illinois,USA,61601,0,1,0,1107975,1,NULL,0,0
1108041,60,Male,Longmont,Colorado,USA,80501,1,1,0,NULL,0,NULL,0,0
1108075,66,Female,Irvine,California,USA,92697,0,1,0,NULL,0,NULL,0,0
1108146,61,Male,Greensboro,North Carolina,USA,27410,0,1,0,NULL,0,NULL,0,0
1108154,83,Female,Springfield,Illinois,USA,62704,1,1,0,1108154,1,NULL,0,0
1108162,58,Female,Schaumburg,Illinois,USA,60173,0,1,0,NULL,0,NULL,0,0
1108286,71,Female,Baltimore,Maryland,USA,21230,0,1,0,NULL,0,NULL,0,0
1108292,64,Male,Peoria,Illinois,USA,61603,1,1,0,NULL,0,NULL,0,0
1108334,56,Female,Libertyville,Illinois,USA,60048,1,1,0,NULL,0,NULL,0,0
